P,Q,t,eta,E,E_test
2000,200,3850,0.05,0.0312092605068658,0.030825109692381246
2000,200,3900,0.05,0.030881661684236214,0.030125431007250483
2000,200,3950,0.05,0.03071449596693421,0.03015368136563912
2000,200,4000,0.05,0.03078686024587249,0.030142099940373524
2000,200,4050,0.05,0.03127601830748496,0.030379604306267717
2000,200,4100,0.05,0.030843007064667787,0.02979316984586098
2000,200,4150,0.05,0.030847361881119126,0.029421982809964876
2000,200,4200,0.05,0.030532171602301105,0.029096653552160293
2000,200,4250,0.05,0.030529856117842608,0.029091508128658926
2000,200,4300,0.05,0.03040915611778427,0.02903058248322765
2000,200,4350,0.05,0.03038505031424939,0.029203191338305245
2000,200,4400,0.05,0.030562580075986744,0.029798967465524507
2000,200,4450,0.05,0.030272477933645937,0.02964879612794691
2000,200,4500,0.05,0.030247397101039984,0.029405330505867314
2000,200,4550,0.05,0.030551507427547593,0.03021777830828025
2000,200,4600,0.05,0.03063352831296142,0.030134224586218564
2000,200,4650,0.05,0.031113116113689974,0.030456995164698148
2000,200,4700,0.05,0.03151211838478509,0.031020986659796815
2000,200,4750,0.05,0.030769321959494736,0.030199933372280743
2000,200,4800,0.05,0.03053960779521934,0.030007032833499533
2000,200,4850,0.05,0.030384602558576532,0.03021333218829368
2000,200,4900,0.05,0.030209399163127527,0.03004336616204833
2000,200,4950,0.05,0.03209836853230558,0.030969954832733702
2000,200,0,0.05,0.45798007483977676,0.40037415372166146
2000,200,50,0.05,0.28494390597843733,0.32952619093713
2000,200,100,0.05,0.1853976089777833,0.19791339829009907
2000,200,150,0.05,0.16759284584159634,0.1858608633054515
2000,200,200,0.05,0.13542764522000103,0.15143065881886414
2000,200,250,0.05,0.09384801922516071,0.09894187279808797
2000,200,300,0.05,0.07287769112198401,0.0752259601922378
2000,200,350,0.05,0.062922997107035,0.06166378356412094
2000,200,400,0.05,0.058092348133854055,0.05889246830121444
2000,200,450,0.05,0.05475142399784692,0.05354442513432964
2000,200,500,0.05,0.052800495677201235,0.05200997304387122
2000,200,550,0.05,0.04835092363472404,0.04848790471745624
2000,200,600,0.05,0.045698821869030945,0.04700422340855384
2000,200,650,0.05,0.04273155696287638,0.04390380342323864
2000,200,700,0.05,0.040751209193264575,0.04106544375340966
2000,200,750,0.05,0.0390862139560085,0.03785903699902857
2000,200,800,0.05,0.03904681531201488,0.03793539051080961
2000,200,850,0.05,0.038529476196343684,0.0381909470750347
2000,200,900,0.05,0.03751557136814207,0.03723284624664234
2000,200,950,0.05,0.036416366529566736,0.036395816864346904
2000,200,1000,0.05,0.036159370948908094,0.03619834334031538
2000,200,1050,0.05,0.03570410382130115,0.035861263375609756
2000,200,1100,0.05,0.03534149852601907,0.03539622767482954
